fecha,año,ruta,operador,tipo vuelo,tipo aeronave,total personas a bordo,pasajeros a bordo,tripulación a bordo,cantidad de fallecidos,pasajeros fallecidos,tripulación fallecida,fallecidos en tierra,total fallecidos
1948-08-01,1948,"Karachi, Pakistan",Onzeair,Chaklala – Mauripur,Avro 691 Lancastrian (flying boat),4,0,4,4,0,4,0,4
1948-08-01,1948,"1,200 miles off Dakar, Atlantic Ocean",Air France,Fort-de-France - Port-Etienne - Paris,Latecoere 631 (flying boat),52,40,12,52,40,12,0,52
1948-08-09,1948,"Port Underwood, New Zealand",New Zealand National Airways,Blenheim - Paraparaumu,Douglas C-47B,2,0,2,2,0,2,0,2
1948-08-20,1948,"La Guaira, Venezuela",Avensa,Maiquetía - Las Piedras - Maracaibo,Douglas C-47A,3,0,3,3,0,3,0,3
1948-08-29,1948,"Near Winona, Minnesota",Northwest Orient Airlines,Chicago - Minneapolis,Martin 202,37,33,4,37,33,4,0,37
1948-08-31,1948,"Near Elizabethville, Belgium Congo",Sabena,Manono - Elizabethville,Douglas DC-3 (Douglas C-47A-10-DK),13,10,3,13,10,3,0,13
1948-09-02,1948,"Near Quirindi, Australia",Australian National Airways,Brisbane - Sidney,Douglas DC-3,13,10,3,13,10,3,0,13
1948-09-30,1948,"Balkhash, Kazakhstan",Aeroflot,Alma Ata - Balkhash - Karaganda - Moscow,Lisunov LI-2,15,11,4,15,11,4,0,15
1948-10-02,1948,"Near Trondheim, Norway",Norwegian Airlines,Fornebu - Hommelvik,Short Sandringham 6 (flying boat),45,38,7,19,16,3,0,19
1948-10-12,1948,"Near Yevlakh, Azerbaijan, USSR",Aeroflot,Tashkent - Baku - Tbilisi - Sochi,Ilyushin Il12,10,4,6,10,4,6,0,10
1948-10-21,1948,"Prestwick Airport, Scotland",KLM Royal Dutch Airlines,Amsterdam - Prestwick - New York City,Lockheed 049-46-25 Constellation,40,30,10,40,30,10,0,40
1948-10-23,1948,"Mt. Ruapehu, New Zealand",New Zealand National Airways,Palmerston - Hamilton,Lockheed 10A Electra,13,10,3,13,10,3,0,13
1948-10-25,1948,"Georgian SSR, USSR",Aerflot,Krasnodar - Karachayevsk - Sukhumi - Tbilisi,Lisunov Li-2,18,14,4,18,14,4,0,18
1948-10-27,1948,"Near Edmonton, Alberta, Canada",Northwest Orient Airlines,Minneapolis - Edmonton - Anchorage - Tokyo,Douglas C-54A,5,0,5,2,0,2,0,2
1948-11-03,1948,"Near Glossop, England",Military - U.S. Air Force,RAF Scrampton - Burtonwood AFB,Boeing B-29A Superfortress,13,0,13,13,0,13,0,13
1948-11-04,1948,"Cape Spencer, Alaska",Pacific Alaska Air Freight,Anchorage - Homer - Yakutat - Annette Island - Seattle,Douglas DC-3,17,15,2,17,15,2,0,17
1948-11-08,1948,"Mt. Macedon, Australia",Australian National Airways,Melbourne - Denilquin,Douglas DC-3,23,19,4,3,0,3,0,3
